Country,iso,CSCC_gtc_mean,CSCC_gtc_std,CSCC_gtc_skew,CSCC_gtc_median,CSCC_gtc_q17,CSCC_gtc_q83,CSCC_gtc_min,CSCC_gtc_max
Costa Rica,CRI,0.679293684487497,0.4428982538889189,0.5940554195852582,0.6402145570279885,0.2744476440245246,1.0769962813711418,-0.7977087113674002,3.71950928649648
Cuba,CUB,0.604998204483742,0.3529383110432548,0.5089398137085086,0.5762800222102524,0.2827730748434682,0.9257898589644353,-0.5429727131689543,2.785610140749059
Cyprus,CYP,0.11600467119772397,0.08837540203798895,0.5664772896808338,0.10984508137403699,0.03387664606162647,0.19527143665109695,-0.19418611072680078,0.7334975610089736
Czechia,CZE,-1.225368418673763,1.1811143856730537,-0.505653916879681,-1.1611694490251168,-2.276557492936689,-0.12113773958857807,-11.408653850047463,3.4513274064812327
Germany,DEU,-4.98707885133874,6.301898705487224,-0.30433564619080444,-4.8138548033222115,-10.629365788119953,0.8597325371072696,-49.00053615842721,23.267302348867318
Djibouti,DJI,0.15220395181987298,0.07980990789079673,0.3402956704360567,0.14758092358890196,0.07980725752165471,0.22500764767628073,-0.13201936474211873,0.614264908152694
Denmark,DNK,-0.5876316022209882,0.545344463539109,-0.514492993292168,-0.5573974410304454,-1.0673013120288903,-0.08447787806712524,-5.372970575532152,1.7234977652005776
Dominican Republic,DOM,1.3768157662247178,0.8078915051803011,0.5262132571382071,1.307618487453846,0.6422496097392059,2.1075608043660363,-1.3110568204953432,6.578809501188734
Algeria,DZA,2.6646039678752396,2.225393496603185,0.43181905670025,2.5403372789564234,0.5630592693198975,4.693795688286193,-5.003193097203057,16.3628126438324
Ecuador,ECU,1.4212305628154016,1.0416661987177216,0.548775726679012,1.3413759192031602,0.4549870519308405,2.3628677960128988,-1.9894869891209486,8.165839950928307
Egypt,EGY,14.305162356240492,8.958457373516014,0.41073953494018367,13.772732818228608,6.00542217498718,22.490885350034723,-17.66872384357633,68.44891256335904
Eritrea,ERI,0.24824937614551712,0.14493436200526494,0.329304109842727,0.2408362476090299,0.11476859545012669,0.38102462299423084,-0.27131588258727435,1.0553330133875392
Spain,ESP,2.8356260443964207,3.7395639375308405,0.4974018582161713,2.615732351512708,-0.7562330243949628,6.1605589957760465,-12.535081407797303,30.009901478652054
Estonia,EST,-0.21659591079801224,0.15173034760518134,-0.807170031816714,-0.203290790223966,-0.349085120728821,-0.08046475444468733,-1.906464808527128,0.29940497495901025
Ethiopia,ETH,7.3815676169949995,5.231929772621543,0.5357793111856753,6.975261341067207,2.565602793446551,12.100347350163299,-10.504212442269745,39.517092657732924
Finland,FIN,-1.8107841565842335,1.0821548945456303,-1.0610511253215928,-1.6904594437821863,-2.737926216268728,-0.8578919147762737,-15.869955373103116,1.4117466072309088
Fiji,FJI,0.04995414679197701,0.032507260363776644,0.7658102364153017,0.04602944591622268,0.020793308729220288,0.07881247355538994,-0.057618317221316134,0.27584613288126303
France,FRA,-0.687025803164776,5.570266449603176,0.0645779599472197,-0.6769676830726251,-5.896150547934073,4.437680393254372,-31.849237107496247,29.871950902027358
Gabon,GAB,0.3779501523293658,0.21891465004898628,0.4830262051834741,0.3608683627800613,0.17852479250338418,0.5764920602301388,-0.36520499467480333,1.722290107769593
United Kingdom,GBR,-3.54799165718309,5.124141473086959,-0.23721694859898165,-3.4372617020037337,-8.112928764510592,1.1285139960332717,-37.092972461213705,21.400509230871
Georgia,GEO,-0.006664006082334731,0.12331717819024615,0.12421386940406705,-0.008034484861119892,-0.1235818140097886,0.10639025275063681,-0.6856683814148576,0.688163680374659
Ghana,GHA,4.174248199718635,2.3951310225178615,0.5339908170017493,3.9502053907449963,2.0111180229741747,6.347020126053888,-4.279317062679857,18.388464855865124
Guinea,GIN,2.0063997403861715,1.135225971018745,0.42924402052335053,1.9226409351982077,0.9738370506169451,3.041572195652417,-1.955220284777387,8.406293211625027
Gambia,GMB,0.24278095508634387,0.14172102073278786,0.5257308727257086,0.22939895058027238,0.11313078138772024,0.3734424801052305,-0.23267430964462432,1.0962689596439323
