Country,iso,Fabc_mf_mean,Fabc_mf_std,Fabc_mf_skew,Fabc_mf_median,Fabc_mf_q17,Fabc_mf_q83,Fabc_mf_min,Fabc_mf_max
United Kingdom,GBR,-0.10782755894096469,0.013409034800818204,-0.2824757121546352,-0.10740187040232566,-0.12169490293454545,-0.09272947755234402,-0.1457528383227896,-0.0804473524705367
Georgia,GEO,-0.0003808259864980821,0.0018493578957124168,-0.4749072085489222,-0.0002941665572463179,-0.0019171210855195558,0.0012940263118013527,-0.00771292148679815,0.006351553041853143
Ghana,GHA,-0.002867812365014026,0.008448611658851092,-0.5809480675429045,-0.0026310705147766333,-0.009835227163150575,0.004370815692775769,-0.04528911901395612,0.027170413470140136
Guinea,GIN,0.0004940783061701039,0.007319730803428528,0.04715455316569338,0.0009139722890555859,-0.005604202178926295,0.006900258757128716,-0.025875457092690467,0.03128156820947647
Gambia,GMB,-0.00044706266009995497,0.0002550277312021954,-0.6854262999490708,-0.00044840000000000006,-0.0007216900000000001,-0.00019077999999999999,-0.001145827856216522,-9.454000000000001e-05
Guinea-Bissau,GNB,3.469788342470478e-05,0.00161968519746075,0.38891717619315963,-6.478026779881894e-05,-0.0010641090744618327,0.0011830757103090815,-0.0061091739403364275,0.0076968187007808685
Equatorial Guinea,GNQ,-0.0009260714827557092,0.0012810774961206607,0.09018836340596321,-0.0010797734255549452,-0.0021063895599543,0.0003727676340244451,-0.007140104319845907,0.003784479184630184
Greece,GRC,-0.015505245111370136,0.004715144013722734,0.12110331283662333,-0.01560436293945278,-0.01979114162172819,-0.011096813141056205,-0.032519527956452216,0.004796277753372536
Guatemala,GTM,-0.00405672044412665,0.0075735676586357,0.268050503452745,-0.004191695870957149,-0.010923452880454692,0.0026481878591878326,-0.030390756658411868,0.029212132246144554
Guyana,GUY,0.0023110328420924216,0.004788916411490503,0.3599040053462831,0.002206743248477423,-0.001881233938357839,0.006327396613409511,-0.011061723739726853,0.02302972283466816
Honduras,HND,0.00033545718323598216,0.0075246632335810165,-0.31514008625552625,0.00017359014276076626,-0.0059811572424574065,0.00691998413132348,-0.03304534404373362,0.024504417731799268
Croatia,HRV,-0.003157368376195604,0.004357025008867042,-1.495784286500481,-0.0027325287752957782,-0.0058523894967583145,-0.0001162503875746062,-0.02709502731591549,0.00892304187479271
Haiti,HTI,-0.0007332975625484594,0.0018215240110877149,-1.1787378512048834,-0.0008549255326508008,-0.0018907411026148676,0.0006361375896777313,-0.013691551310188343,0.0057056774657404975
Hungary,HUN,-0.010612246379480455,0.002749356120675817,-0.5326124300796654,-0.010502207961113171,-0.0127614887663755,-0.00837396256755141,-0.026166375927970408,0.0005016394216421083
Indonesia,IDN,-0.29168034962422285,0.11144480639499302,-0.473631652977508,-0.2797792122541012,-0.3982661051474869,-0.18998407350588842,-0.7674087207621496,0.0464886419512649
India,IND,-0.6234741869218552,0.07916084355000437,0.20647418806408963,-0.6259629958863724,-0.7022752160840742,-0.5426427942526609,-0.8589921918137744,-0.36131344846903385
Ireland,IRL,-0.00962090767276217,0.00205858886767998,0.77214166402433,-0.010274629199848015,-0.011474001451983499,-0.006504218553187849,-0.013503841170251541,-0.004167966192437193
Iran,IRN,-0.18115938845249904,0.014933550233435636,-0.32138725376428046,-0.18107675451406666,-0.19957240763809436,-0.16586737059487097,-0.22458060192091744,-0.14950299850141532
Iraq,IRQ,-0.03674736367911202,0.004360286595867294,-0.24116088640071567,-0.0359089969406693,-0.0416521040162956,-0.0318090032648409,-0.049025326695769804,-0.0299833873079384
Iceland,ISL,-0.0010416082735741536,5.371192787682841e-05,0.24411014821944435,-0.00104372913209607,-0.0010964575491266382,-0.000985416462882096,-0.0011498367003275102,-0.000894416462882096
Israel,ISR,-0.01647831910286618,0.0007460825620473416,-0.07501698359796477,-0.016443890381140202,-0.0172119337510914,-0.015686341943063,-0.0182942837510914,-0.015150683234786001
