Country,iso,Fbc_mean,Fbc_std,Fbc_skew,Fbc_median,Fbc_q17,Fbc_q83,Fbc_min,Fbc_max
Republic of the Congo,COG,-0.005193494150581279,0.0018363735933387766,-0.7212105195008073,-0.0046765278583954,-0.0071512999767522,-0.003501074463668498,-0.00968990835401462,-0.0024005231171373683
Cook Islands,COK,-1.6979506512321643e-05,4.862948395597221e-06,0.5337925017577667,-1.8e-05,-2.2e-05,-1.153e-05,-2.3e-05,-4.82e-06
Colombia,COL,-0.04351839417660189,0.010529310044554223,-0.8508239325458635,-0.042441015267965204,-0.0514390333031111,-0.0344934682388807,-0.0730043180393118,-0.0249686820223357
Comoros,COM,-8.311268173050131e-05,3.1150050024525495e-05,-0.5299391290009392,-8e-05,-0.00012677816098304701,-5e-05,-0.00014748922,-4.4e-05
Cabo Verde,CPV,-0.00014373157264462017,8.665133944439928e-06,-0.42526259659742616,-0.00014125000000000002,-0.000153,-0.00013486,-0.000169011363968265,-0.00013263
Costa Rica,CRI,-0.003144009486615606,0.0007878473304153412,-0.7409253284518299,-0.00294174195589948,-0.00410621376267681,-0.0023786745495431596,-0.005411373177235541,-0.00186800613509747
Cuba,CUB,-0.005957149453939292,0.0015364779984413505,0.14747787501381082,-0.00599589355014636,-0.00738683348863329,-0.00458724193471864,-0.009841421934718639,-0.00238518405690099
Cyprus,CYP,-0.0018485261526572092,0.00013960996209100613,0.4702250066083901,-0.0018571263502907,-0.0019771763502907,-0.0017389796102565296,-0.00217536733326303,-0.00128545367463823
Czechia,CZE,-0.0255892826566834,0.004360129573735955,-0.16974759328419306,-0.0260272771958702,-0.0288256601981731,-0.0210678901981731,-0.0374344456747678,-0.0152271024880579
Germany,DEU,-0.19834283460489485,0.019326463894283212,0.3437051851361561,-0.196357412987863,-0.217701760111605,-0.17875763915306003,-0.230082948325592,-0.15360397915306
Djibouti,DJI,-0.00012717199680601138,1.5756308665485793e-05,-0.9475674324573515,-0.000125489530390089,-0.00014075742282772087,-0.000112138661456764,-0.00017816511290773003,-9.584838817282e-05
Dominica,DMA,-3.62111302826697e-05,1.533750897167629e-05,0.8649409875692701,-4.276999999999999e-05,-4.7310000000000006e-05,-1.4178670236224595e-05,-6.467e-05,-2.320000000000005e-06
Denmark,DNK,-0.009761572717375228,0.0012172894592800102,-0.2338304772469633,-0.009825198698710621,-0.01082407684803916,-0.008375601242790718,-0.0128014183387104,-0.0076495729940526495
Dominican Republic,DOM,-0.006760476005422776,0.0013300107804775027,-2.285609922960191,-0.00648236207074183,-0.00742806207074183,-0.0058209384628797305,-0.0126671247597635,-0.004866581423932449
Algeria,DZA,-0.04103605582908422,0.003625336691284824,0.22351496237721397,-0.0412023526610341,-0.045044495659250804,-0.0374016757179005,-0.0474626201732084,-0.03319037816139169
Ecuador,ECU,-0.016103298371762196,0.003993652591479897,-0.9717942255600012,-0.015352838626963999,-0.01959261036094971,-0.0126341730665212,-0.0287105829128565,-0.00796425854105959
Egypt,EGY,-0.06576423249086515,0.005464582461825696,-0.1303935846901239,-0.0655585291509653,-0.0711461243395726,-0.060534984118982005,-0.0769858347196031,-0.0564170296672018
Eritrea,ERI,-0.0005792081779073181,0.000552878933175126,-1.6393902678474759,-0.000376721093135778,-0.001297021366419722,-0.00020101031579925502,-0.002004583542193279,-0.000118615157269396
Spain,ESP,-0.06493887206600978,0.005378079958382395,0.5850709125968725,-0.0656283839776549,-0.0702728682047689,-0.059272454796697106,-0.0742181668504205,-0.0519755455284373
Estonia,EST,-0.004309775876867721,0.00105463419295666,0.3291435947877571,-0.00461030572931472,-0.00542002503006587,-0.00305227873283751,-0.00599689642154222,-0.0019959596642748698
Ethiopia,ETH,-0.021530024720735345,0.031482374098953846,0.30539081458828043,-0.022971752013436823,-0.06277291797490939,0.00899165368343833,-0.07416717041331966,0.04417447519005497
Finland,FIN,-0.01781718013161136,0.004017522412982272,-1.2074668476497876,-0.0167406307423581,-0.021429435371179,-0.0145487013100437,-0.0315255175982533,-0.01249763126637555
Fiji,FJI,-0.00026780611518070784,0.00010682276139886686,-0.1681173016103816,-0.0002626581809013145,-0.00036925,-0.00017155000000000005,-0.000566901038961039,2.5499999999999807e-06
France,FRA,-0.0757952348208685,0.010980294693803554,0.18850483342534793,-0.0755881626705773,-0.0870717270325988,-0.06433248183316459,-0.1000846653992555,-0.0460601690785552
