Country,iso,Fab_mf_mean,Fab_mf_std,Fab_mf_skew,Fab_mf_median,Fab_mf_q17,Fab_mf_q83,Fab_mf_min,Fab_mf_max
Sri Lanka,LKA,0.0026168396375569306,0.006524724529361479,1.0616567046612826,0.0018486492135065793,-0.0024955636843106152,0.007100589080292821,-0.021292679915885925,0.033160705992536545
Lesotho,LSO,-0.00016329039799999997,0.000663449080189823,-0.018012459502715208,-6.966000000000001e-05,-0.00090309,0.00030083,-0.00166264,0.0016618100000000001
Lithuania,LTU,0.001289947958526452,0.0038346468057354993,-0.16486548543414972,0.0010284870991067588,-0.0012985146254960937,0.0045547762909168,-0.01487138147474289,0.015430122139229775
Luxembourg,LUX,-8.000469406693924e-06,0.00017282753327023078,-1.9717474017018013,-2.37e-05,-5.1696658150540903e-05,9.776449524781405e-05,-0.0010400677735066413,0.0005836921753223241
Latvia,LVA,0.0017835930880168256,0.003642465495332038,-0.060308377359410255,0.0018915347440320255,-0.0011700517445183392,0.004760127120819092,-0.010049004501495361,0.013070729523024559
Morocco,MAR,-0.0006709844949999998,0.002704547734746103,-1.1722326477734968,7.326000000000001e-05,-0.00366322,0.00134054,-0.00869233,0.004627200000000001
Moldova,MDA,0.000521067763,0.00036173163133858906,0.2880110497352634,0.000508,6.758e-05,0.00098719,4.148e-05,0.0012619100000000002
Madagascar,MDG,0.002226028950788988,0.009553800922938737,-0.1941890555136454,0.0020176010111391546,-0.005372221706950537,0.010908345915031432,-0.04311928837635994,0.040804427763576505
Mexico,MEX,0.030989049431745706,0.03512491293818885,0.7490945136230552,0.026412303489518167,0.001728517439848002,0.06130266557081222,-0.059876158545074464,0.1709479842288971
North Macedonia,MKD,0.0007717165056144635,0.0016794553762592794,2.1955978616163567,0.0006448343439010531,-0.0002651857145489627,0.0017547626994737684,-0.007833176786737442,0.014248162770342826
Mali,MLI,-0.003989741601187262,0.004786333802670836,0.2095756579812266,-0.006670727326219529,-0.008798460509529822,0.0021547100000000002,-0.010242760586693286,0.005276696134107113
Myanmar,MMR,0.0014182844930287568,0.02804887474792725,0.06760385039725635,0.0020336436142253875,-0.025024856018066408,0.026251374669122696,-0.08662468405232429,0.09965214405183792
Montenegro,MNE,0.0009254677973809343,0.0014660908350938,-0.34451760474468457,0.00092375,-7.665956120736896e-05,0.002001582338417706,-0.0055773121424365045,0.006182446838120222
Mongolia,MNG,0.00072073338372232,0.002382322760362593,0.032451133356436575,0.0006782839067206019,-0.0015257901745428502,0.002963111404651913,-0.007247571301139594,0.00801072701149702
Mozambique,MOZ,0.010878155048070857,0.03739167919378471,-0.33971828733079035,0.011999541009068488,-0.020349192500589322,0.04228882198631287,-0.1173957839394188,0.1497449334836197
Mauritania,MRT,-0.00022668591,0.00025789309736877204,-2.4029060066208654,-0.00016364,-0.00042496,-4.2970000000000004e-05,-0.0013185500000000001,6.740000000000001e-06
Mauritius,MUS,-1.7596324895859564e-05,0.0001018053475821559,-1.204095000133496,-2.14e-06,-4.952018547072083e-05,7.61e-06,-0.0008133691485515982,0.00044303480598926543
Malawi,MWI,-0.002096246388235227,0.002512194891628474,-0.25518109027401153,-0.0019097405715516583,-0.004438029165861607,0.0001496733663403989,-0.013315550918482542,0.008752907521774768
Malaysia,MYS,-0.010810539009536439,0.022085583039270277,-0.6344568019429646,-0.007677145942087172,-0.03110553849290793,0.008864699034900662,-0.10746131985236168,0.050501957331876755
Namibia,NAM,-0.0013306947089999999,0.000919924693139944,0.40447731116264213,-0.00161643,-0.00221715,4.9100000000000004e-06,-0.00252015,6.266e-05
Niger,NER,-0.005637421183,0.006657167017284408,0.43647366584863284,-0.007952790000000001,-0.01165546,0.00393441,-0.01659058,0.00653965
Nigeria,NGA,0.009964313798880641,0.016403118618155802,0.8906051124813587,0.004916272792205811,-0.0037537562612512225,0.029983910980315144,-0.021254512934007645,0.07653802086606026
Nicaragua,NIC,0.002519237159063708,0.007228867492318576,0.053618266613754496,0.002421106919850707,-0.0038955969346654417,0.008906487742718077,-0.02473914768896818,0.022917350415649414
Netherlands,NLD,-0.0014426662189236565,0.0007587722474435836,0.9701525997322689,-0.00160984,-0.00202410112966476,-0.0009328800000000001,-0.004507901656198502,0.0012033235104121267
Norway,NOR,0.0038112631324387705,0.0054441743835219655,-0.15012771685417114,0.003711667729381025,-0.0008019062696327269,0.008540465358351446,-0.02201506153878689,0.020502561997184754
