country,iso,Fa_mean,Fa_std,Fa_skew,Fa_median,Fa_q17,Fa_q83,Fa_min,Fa_max,Fa_tf_mean,Fa_tf_std,Fa_tf_skew,Fa_tf_median,Fa_tf_q17,Fa_tf_q83,Fa_tf_min,Fa_tf_max,Fa_mf_mean,Fa_mf_std,Fa_mf_skew,Fa_mf_median,Fa_mf_q17,Fa_mf_q83,Fa_mf_min,Fa_mf_max
Libya,LBY,0.00013732958,0.010127655,-1.2015187740325928,0.00032366766,-0.0015118544,0.003063399,-0.08072373,0.062696464,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Sri Lanka,LKA,0.005356876,0.008482961,1.8245309591293335,0.0048505967,-0.0007520021,0.010207298,-0.02212821,0.054411992,0.0045983326,0.0064299065,1.051308512687683,0.0040724026,-0.00041026395,0.008755794,-0.0168982,0.033937376,0.0045983326,0.0064299065,1.051308512687683,0.0040724026,-0.00041026395,0.008755794,-0.0168982,0.033937376
Lesotho,LSO,0.0006014781,0.0047238865,0.3011325001716614,0.00065116805,-0.0033806334,0.0040650154,-0.014289777,0.016790947,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Lithuania,LTU,0.002565484,0.004784291,-0.33443522453308105,0.002529,-0.00064730167,0.006280964,-0.013374667,0.018097587,0.0019148107,0.0037762092,-0.14383971691131592,0.0014949467,-0.00034864113,0.0050485437,-0.0128496215,0.014318982,0.0019148107,0.0037762092,-0.14383971691131592,0.0014949467,-0.00034864113,0.0050485437,-0.0128496215,0.014318982
Luxembourg,LUX,9.848004e-06,0.00016690487,-1.8890362977981567,0.0,-2.8566012e-05,0.00010401813,-0.0009979578,0.0005440622,9.848004e-06,0.00016690487,-1.8890362977981567,0.0,-2.8566012e-05,0.00010401813,-0.0009979578,0.0005440622,9.848004e-06,0.00016690487,-1.8890362977981567,0.0,-2.8566012e-05,0.00010401813,-0.0009979578,0.0005440622
Latvia,LVA,0.0025467006,0.0035973247,-0.08760318905115128,0.0026800116,-0.00016174722,0.005356372,-0.008634646,0.0129755195,0.0025413877,0.0035898115,-0.07318297028541565,0.0026800116,-0.00015717236,0.005321233,-0.0085580945,0.0129755195,0.0025413877,0.0035898115,-0.07318297028541565,0.0026800116,-0.00015717236,0.005321233,-0.0085580945,0.0129755195
Morocco,MAR,-0.0028541752,0.01853601,0.7691755294799805,-0.0023017728,-0.016127476,0.008310262,-0.06723912,0.088217914,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Moldova,MDA,0.0003638059,0.0029906435,0.23155257105827332,0.00030341718,-0.0022075658,0.0028600646,-0.0075074853,0.010104944,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Madagascar,MDG,0.018404346,0.027617589,-0.6624679565429688,0.01900341,-0.0012726496,0.042509478,-0.110135235,0.0920096,0.008903475,0.009822836,-0.25968852639198303,0.008771579,0.0014077879,0.017684732,-0.03336676,0.044294506,0.007961532,0.009355257,-0.27705803513526917,0.0075149806,0.0010979708,0.016387375,-0.03336676,0.040861808
Mexico,MEX,0.062826015,0.093950346,0.33918413519859314,0.055869274,-0.0034613705,0.13657129,-0.21371059,0.37795466,0.034223665,0.035084147,0.7756633758544922,0.028966673,0.0063650194,0.06427048,-0.046636634,0.16191141,0.033651732,0.03482652,0.7876326441764832,0.028633755,0.00524297,0.06306631,-0.04591185,0.16051593
North Macedonia,MKD,0.0011164584,0.002237697,0.9574823975563049,0.0010059346,-0.00047251565,0.002544844,-0.007130597,0.013678713,0.0007513722,0.0017018062,2.2483415603637695,0.0006391009,-0.0001262295,0.0017435563,-0.007130597,0.013678713,0.0007513722,0.0017018062,2.2483415603637695,0.0006391009,-0.0001262295,0.0017435563,-0.007130597,0.013678713
Mali,MLI,0.0054995613,0.015062713,0.45364558696746826,0.0049939197,-0.0050343187,0.016382324,-0.04173559,0.07925729,6.5708795e-05,0.00029876715,2.5033395290374756,0.0,-1.0602085e-11,0.00014972816,-0.0011136206,0.0022106161,6.5708795e-05,0.00029876715,2.5033395290374756,0.0,-1.0602085e-11,0.00014972816,-0.0011136206,0.0022106161
Myanmar,MMR,0.042913318,0.039516315,0.2729399502277374,0.04362925,0.007762337,0.0782075,-0.064022124,0.18411389,0.03084724,0.028673187,0.06420766562223434,0.03137759,0.004497056,0.057163227,-0.046388898,0.1228718,0.029331299,0.027335024,0.06739989668130875,0.02973964,0.0040834025,0.053710997,-0.045071084,0.115917094
Montenegro,MNE,0.0006181071,0.00207873,-0.40206870436668396,0.0006826826,-0.0007759978,0.0020994588,-0.006912238,0.006511303,0.000440597,0.0014448406,-0.3966068625450134,0.00044504486,-0.0005308727,0.0014536232,-0.005727182,0.005235437,0.000440597,0.0014448406,-0.3966068625450134,0.00044504486,-0.0005308727,0.0014536232,-0.005727182,0.005235437
Mongolia,MNG,0.014856403,0.04222023,-0.9808518886566162,0.014458621,-0.00888746,0.053397402,-0.20093232,0.12272521,0.0012294005,0.0019654725,-0.20420798659324646,0.0012200299,-0.00029578965,0.0028334109,-0.0048062503,0.0062914365,0.0009612401,0.0017811379,-0.05263391509652138,0.001013149,-0.000395737,0.0022924456,-0.0047192513,0.005782607
Mozambique,MOZ,0.023993894,0.05005933,-0.07346391677856445,0.024714697,-0.015104931,0.066401884,-0.13454184,0.22224681,0.01903358,0.036338966,-0.3158610463142395,0.019977864,-0.012211017,0.048673414,-0.102588974,0.14170016,0.01903358,0.036338966,-0.3158610463142395,0.019977864,-0.012211017,0.048673414,-0.102588974,0.14170016
Mauritania,MRT,0.0009666996,0.005753697,1.3935385942459106,5.0100476e-05,-0.0021499076,0.0042196587,-0.017160354,0.03351007,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Mauritius,MUS,9.451466e-06,9.475319e-05,-0.16764509677886963,0.0,0.0,2.1277963e-05,-0.0005245336,0.0004201848,9.747706e-06,7.95133e-05,-0.06945841014385223,0.0,0.0,6.6181306e-06,-0.00042098915,0.0004201848,9.747706e-06,7.95133e-05,-0.06945841014385223,0.0,0.0,6.6181306e-06,-0.00042098915,0.0004201848
Malawi,MWI,0.0037320845,0.0072423303,-0.2660285532474518,0.0046987757,-0.0021949937,0.009439763,-0.019194594,0.03143262,0.0010245774,0.0019798437,-0.24258704483509064,0.0011826345,-0.00064079504,0.0026558195,-0.006913371,0.0095861675,0.0010245774,0.0019798437,-0.24258704483509064,0.0011826345,-0.00064079504,0.0026558195,-0.006913371,0.0095861675
