Country,iso,Fabc_tf_mean,Fabc_tf_std,Fabc_tf_skew,Fabc_tf_median,Fabc_tf_q17,Fabc_tf_q83,Fabc_tf_min,Fabc_tf_max
Djibouti,DJI,0.00012723803281588248,4.507390550814025e-06,0.5187070842158938,0.0001268583625416797,0.00012314378636846498,0.00013130354962609357,0.00011570272294565161,0.00014765330511772344
Dominican Republic,DOM,0.005584614726785903,0.00030882335306590085,0.0725839450625295,0.005593337000473793,0.005291829343420557,0.0058912009083134315,0.004680578990563388,0.006649344186541804
East Timor,TLS,0.0005917735798252278,0.00012674308762612152,0.05271827842198409,0.0005915394913116963,0.0004659181992835654,0.000714474840694268,0.00024329305527361989,0.0010855754535995068
Ecuador,ECU,0.0009506764073283581,0.0010538033830728283,0.01888214394161594,0.0009701828940247483,-6.448170919733514e-05,0.0019123885415328508,-0.0023086976941920183,0.004438912523747178
Egypt,EGY,0.06577032277800242,0.0017402411628875546,0.08553872258677955,0.06572394964576568,0.06417078902079112,0.0674236122503296,0.06093347863230537,0.07145036779537141
El Salvador,SLV,0.00033468480277763774,0.00021015627019110755,0.053203762504079065,0.00033285835840404375,0.00013771612120983792,0.0005207570916647676,-0.00033602165276329365,0.001085721917298913
Equatorial Guinea,GNQ,0.0006994467177904855,0.0001422269295957834,0.07362878638702622,0.0006989959601702249,0.0005639382082818277,0.0008329897762549851,0.00026640005771038267,0.001213757823826595
Eritrea,ERI,0.0005794748314186725,8.612176128820279e-05,0.1309239216994857,0.0005735152038854569,0.0004953999119867192,0.0006650241712958075,0.00030819902343288367,0.0008708084683885107
Estonia,EST,0.002750096442628019,0.00036537172170911643,-0.14827594817577522,0.002756131180208902,0.00238779117913619,0.003104208374152366,0.0016246190215327453,0.003883861923242092
Ethiopia,ETH,0.006266510939293724,0.005081193776588602,-0.054060169426862044,0.006203793814327785,0.0013993291266886964,0.011106661534358745,-0.01081782187312664,0.020466667845108467
Fiji,FJI,1.841441902810969e-05,0.00010110046245293875,0.190983845907426,1.3384789737024575e-05,-7.550639515629819e-05,0.0001096219387893521,-0.0003042190972166621,0.0004411243164987973
Finland,FIN,0.008999664712186814,0.0010910400531616799,0.06779799747657049,0.008980817139016906,0.007964846773647073,0.010040300266234002,0.005450252002525044,0.012429672445363936
France,FRA,0.06786297191528234,0.0028613154273070722,-0.06171691708505479,0.06797748447031166,0.06511075702530165,0.07054465615446005,0.05919596467923062,0.07573266035020809
Gabon,GAB,-0.01482151775169574,0.0008374889461258106,0.0056899267308337005,-0.01481230185885759,-0.01564056666559525,-0.01403899120068432,-0.01780589942244443,-0.01189508075359999
Gambia,GMB,0.0004465549800256266,4.121165414962011e-05,0.06421768695247189,0.00044744100000000003,0.00040579302483136173,0.0004867500686333044,0.00032448826699999996,0.0005938268568649566
Georgia,GEO,0.0001851596184843798,0.0001885672873947159,-0.016314987411959993,0.00019095515485931139,-5.626332218019188e-06,0.000359934298083026,-0.000348458915852997,0.0008160383321361491
Germany,DEU,0.19672788957704576,0.005650587211158707,-0.005218606984620297,0.19682177652213123,0.19126667686418244,0.202370455069588,0.17640740840264074,0.2180917255201447
Ghana,GHA,0.002837786143097188,0.0007888725581745004,0.08619733041383004,0.0028302698083837357,0.002066622085580907,0.0035861337280185287,0.00018048260924188745,0.005428672892867913
Greece,GRC,0.015476845172208918,0.0008493649271082947,-0.14824766760990252,0.015457939753025824,0.014674202270621307,0.016240074325663746,0.01228402313907661,0.0182941570734138
Guatemala,GTM,0.0036005158053019565,0.0007966363253326178,0.021404397146199777,0.003594106988314022,0.0028317009518600477,0.004359816084767954,0.001194494796029134,0.006011826506053954
Guinea,GIN,-0.00047603832690279967,0.0005562439556790312,-0.04739013003014168,-0.00047264054631123743,-0.0009987764374303364,6.497135909862132e-05,-0.002289583156427756,0.0011569174306791726
Guinea-Bissau,GNB,-2.4567283232226284e-05,0.0001216670905372795,-0.014246248159838808,-2.4686368701903237e-05,-0.0001413481259575797,9.59975509372328e-05,-0.0004518933405746498,0.0004308670688099481
Guyana,GUY,-0.01223056203480174,0.0011436588579695948,-0.019429223398381042,-0.01219920869646213,-0.01336612876542373,-0.011137300391932912,-0.016105759429841552,-0.008624391093734578
Haiti,HTI,0.0007368586181800725,0.0001583050281912763,0.01704734784580404,0.0007361303382896611,0.0005890940558463911,0.0008901838687326889,0.00020919388853308076,0.0012280195546335334
