Country,iso,Fab_mean,Fab_std,Fab_skew,Fab_median,Fab_q17,Fab_q83,Fab_min,Fab_max
Kyrgyzstan,KGZ,0.0030419390836814676,0.008292351200543809,0.6246324822585854,0.002384469919091463,-0.002395693879098892,0.008016755810511112,-0.0288204922585392,0.0365290385025692
Cambodia,KHM,0.0015856400370429951,0.017311882902359736,0.5936569787419126,0.0007741915760660165,-0.014119067707648876,0.016170216904382133,-0.05027523838915825,0.06930028980112075
Kiribati,KIR,3.9489011476007366e-06,1.2558859239496422e-05,3.8710055741375973,0.0,0.0,0.0,0.0,8.586994226789102e-05
South Korea,KOR,0.008722114336002292,0.007323572204486603,-0.7771689894373277,0.009150036250288488,0.003947143063510832,0.014366555036765075,-0.026690771678466795,0.0323203099457407
Kuwait,KWT,2.132568801466212e-06,0.0002403526425646012,1.9635422411672143,-1.384365102795564e-06,-6.648013220198452e-05,5.663388147660531e-05,-0.001040961227348447,0.0017349690039080382
Laos,LAO,0.009291212736842596,0.021845187753816123,-0.056364154877385025,0.010820271278368234,-0.008532219952933788,0.024674443492277147,-0.08134441793226242,0.09191197038534164
Lebanon,LBN,9.903939795345595e-05,0.0005327160656568748,0.711977257601382,5.921103568542284e-05,-0.000280530659805052,0.0004976575144362778,-0.0027616974039798977,0.003318971932666302
Liberia,LBR,0.0015172858451046353,0.005816909600696318,-0.2780916404398801,0.001738352481988668,-0.003661596521794259,0.007017734204537868,-0.017531841785013675,0.016975590710759162
Libya,LBY,0.00019021481097477387,0.010289690620189711,-1.518708278633205,0.0005109757358597964,-0.001449598019550237,0.003301004899500489,-0.08068618270988465,0.06301317435976028
Sri Lanka,LKA,0.003390215350121455,0.008523380135819842,1.8039127129295345,0.0026310103930848837,-0.002731449513059204,0.008240518105305362,-0.026103159471702577,0.05372657243068695
Lesotho,LSO,0.0004127276778589234,0.004790918884473318,0.32063765394736493,0.0005164070720045269,-0.0036181840353101493,0.003935374630722123,-0.015768516794612407,0.018063306945548058
Lithuania,LTU,0.00195603731570293,0.004867783907324106,-0.2824348395813562,0.0018699731636366247,-0.0015833979375806152,0.00606964326861136,-0.015396426683375836,0.018855986929798126
Luxembourg,LUX,-8.051875230080635e-06,0.0001706525453024776,-1.9018232194868914,-2.37e-05,-5.517507236133545e-05,9.505705295516178e-05,-0.0010446277735066413,0.0005830321753223241
Latvia,LVA,0.0017787063144837382,0.003642494475610277,-0.07031356937832044,0.0018865892122042179,-0.0012114981589817992,0.0046775549379813675,-0.01018033642316103,0.013070729523024559
Morocco,MAR,-0.003563177727625784,0.01871240021568995,0.6941342708703087,-0.0030616830205431583,-0.017108108544697763,0.008093746606075763,-0.07593145060260773,0.09284511410446167
Moldova,MDA,0.0008490353266686339,0.0030038223838298786,0.20673382147838848,0.0008284734780130162,-0.0017714988795673548,0.0034150453328097466,-0.0074660053375554085,0.011366853998157978
Madagascar,MDG,0.012827846962959853,0.027901312781325564,-0.711151573664002,0.013353129786362647,-0.007873323428662718,0.03770848669242515,-0.11988776489236831,0.09195221652662278
Mexico,MEX,0.0605391826049933,0.09477203308343495,0.3496110121236413,0.052132872952146525,-0.004158687178899204,0.13535789504581452,-0.22767490119701386,0.3883867118461609
North Macedonia,MKD,0.0011067904480495056,0.002233585759754893,0.7574938672815281,0.001081267020309344,-0.0005980522886973827,0.002727248616106963,-0.007833176786737442,0.014268222770342827
Mali,MLI,0.0014048911646658325,0.015731276339543906,0.43363731523254767,0.0007713323609995842,-0.010831958440773488,0.01389420156774044,-0.050864729504241944,0.0823233670850563
Myanmar,MMR,0.015586011787067849,0.04043577586971194,0.27657337305674157,0.014971055626525879,-0.019816960268890713,0.05021376575796127,-0.10542749381362915,0.16885843993263244
Montenegro,MNE,0.0010839628444689697,0.002086937046701965,-0.38552404355155145,0.0011719619683803618,-0.00032907610457763077,0.002613685126324594,-0.006686507964570522,0.007438113130537272
Mongolia,MNG,0.014180604355711847,0.04308051708452697,-1.060595902411961,0.014265607370076181,-0.010045360634385773,0.05244681286438723,-0.2034606439326477,0.124980421083889
