Country,iso,Fc_mean,Fc_std,Fc_skew,Fc_median,Fc_q17,Fc_q83,Fc_min,Fc_max
Iraq,IRQ,-0.035685505422112025,0.004167177336646094,-0.21252380310234445,-0.0347189418029393,-0.0410438540162956,-0.030391138201675598,-0.0425658966957698,-0.0301681373079384
Iceland,ISL,-0.0009624753162741537,2.436084918268449e-05,0.4296789795778093,-0.000966479508733624,-0.000986147191593886,-0.000940260756004367,-0.00100084670032751,-0.000911726462882096
Israel,ISR,-0.016210429698666175,0.0006725280066639079,0.0010678995727800825,-0.0160580139229688,-0.017177479531728,-0.015255347365637,-0.0172202637510914,-0.015201283234786
Italy,ITA,-0.09438716669966372,0.0047688301503642245,1.193462238801943,-0.0953603533583348,-0.0985956153690714,-0.0916969982156859,-0.100839161467365,-0.08258799773809611
Jamaica,JAM,-0.002108683121569975,0.00014530503836437096,1.0081063406416004,-0.0021281511092096903,-0.00222801081182183,-0.00200218814976641,-0.00231775128581235,-0.00176386628122392
Jordan,JOR,-0.00649908330209736,0.0005571110138804761,0.6435120373830593,-0.00674885301072155,-0.00704517466712096,-0.00565560151013504,-0.00706741961721976,-0.0056338768024391
Japan,JPN,-0.3158422811177588,0.025092588999434152,-0.12242513227753486,-0.32409510430354904,-0.344925139896909,-0.28397473152071,-0.358978657007964,-0.28184682838949404
Kazakhstan,KAZ,-0.07442604060615161,0.004671301431707355,-0.559195453016034,-0.0751336685552031,-0.0800972914949333,-0.0696350802916253,-0.0838357226408296,-0.0694361869379771
Kenya,KEN,-0.0050640438237558,0.0007825646116186173,0.3138351816984795,-0.00494937514572114,-0.0059994089977399405,-0.00396603195526514,-0.00608376285640482,-0.0036730282509194103
Kyrgyzstan,KGZ,-0.0026762898092086117,0.00020159466109432073,0.21274522549140498,-0.00265660835152838,-0.00280152319868996,-0.0024689709081467002,-0.00304899536026201,-0.00227851874055199
Cambodia,KHM,-0.003686062869736517,0.0014182000656365555,0.12135085331729464,-0.00340489353295903,-0.00529576796294106,-0.00186524391487389,-0.005466030409066579,-0.00153840884279476
Kiribati,KIR,-1.6915461269835208e-05,1.63067911406286e-06,0.5830304838354167,-1.8e-05,-1.83783848055795e-05,-1.5e-05,-1.86973057062245e-05,-1.4e-05
