Country,iso,Fab_mean,Fab_std,Fab_skew,Fab_median,Fab_q17,Fab_q83,Fab_min,Fab_max
El Salvador,SLV,-0.0017368784344604516,0.00020894129133356052,0.10851305310212632,-0.001738365394754976,-0.0019370561538181723,-0.0015465247222440964,-0.0023585193793694975,-0.0010463909378370046
Equatorial Guinea,GNQ,-0.0009979114667216205,0.00011566416157732381,0.1650756186393456,-0.0009971404886670709,-0.0011050941795870896,-0.0008905339588256521,-0.001339249054192066,-0.0004990621512897611
Eritrea,ERI,-0.0013376212913556139,0.00019876372518891363,-0.17206756561801065,-0.0013306652736486493,-0.0015324732823766703,-0.0011465043839086891,-0.0018873994302157165,-0.0007995057558788657
Estonia,EST,-0.0016068177405725859,0.00021506888118723828,0.06301067310368741,-0.001610623991960317,-0.0018037959180145454,-0.0014031242786406988,-0.002263985650583148,-0.0008486280621169805
Ethiopia,ETH,-0.03337966200451254,0.005530363723748659,-0.03531299595785502,-0.03324758155514813,-0.038715679883167514,-0.028238664934270134,-0.0497365919603138,-0.018380866565633775
Fiji,FJI,-0.0005530164239134159,0.00015786438516347787,0.14794852030312086,-0.0005589859902786761,-0.0007051509528604498,-0.0003990661143006623,-0.001015488342751801,2.3386919281598173e-05
Finland,FIN,-0.0037292923688143887,0.0010719260334351292,0.10174183926299446,-0.0037388373970596786,-0.004723573574268279,-0.002735256424364696,-0.00653428802791214,-0.0004597099890084246
France,FRA,-0.020281276146348923,0.0031486271517669412,-0.05885217302216173,-0.020116037269704342,-0.02318752128698889,-0.017245121158254002,-0.030837911434345243,-0.009687426717011631
Gabon,GAB,-0.01651257422645257,0.0008556780545100024,0.01455588066190616,-0.016491912799552918,-0.01732382575240856,-0.015712431343890543,-0.019528441004099846,-0.013501244723299027
Gambia,GMB,9.535760933617771e-05,5.733995941557848e-05,0.03764282634756846,9.472198861034959e-05,4.105183872382871e-05,0.0001477101948662362,-0.00011097147347658874,0.000265425881419383
Georgia,GEO,-0.0032372468282567553,0.0002666908203275944,-0.02075875198776112,-0.0032348716978000402,-0.0035050449885318472,-0.0029903213933951244,-0.004031411714084148,-0.0024700677684247494
Germany,DEU,-0.007436596375646794,0.0023412985733561376,-0.13205516809404708,-0.007356281548503414,-0.009717117485663913,-0.0051421228085820475,-0.015556884914842606,-0.0009030952623999113
Ghana,GHA,-0.004683588232894414,0.0012485919632950577,0.09424059003779504,-0.004734101728280425,-0.005854660359031958,-0.003502062171914742,-0.008196778969149113,-0.0005134536198236946
Greece,GRC,-0.006067828781140173,0.0006669702732948996,-0.002213195879212775,-0.006040693238190651,-0.006706135139911141,-0.005439880474966587,-0.008298442798880578,-0.0037016109138542416
Guatemala,GTM,-0.0017612708165960246,0.0008121563973767608,0.030562742376563715,-0.0017908100891885752,-0.0025388037715232082,-0.0009656182511515815,-0.004220415442037583,0.000588858836752415
Guinea,GIN,-0.0030559670047704806,0.0006950694699789518,-0.06175858934859578,-0.0030611363316335673,-0.003725822529498954,-0.0024161095338017104,-0.005232658306072712,-0.0009729889133486746
Guinea-Bissau,GNB,-0.0003517355254682267,0.00016117958360989282,-0.03418705991736872,-0.00034935023795197904,-0.0005010754653987651,-0.00019940441338223792,-0.0008695080352654457,0.00021635880087357757
Guyana,GUY,-0.01342960699388178,0.0011878093196432424,-0.022333055234293447,-0.013391307073174954,-0.014616556814204549,-0.012316127155440388,-0.017299894348734857,-0.009788693860349178
Haiti,HTI,-0.0006981590415128411,0.0003946473068717572,-0.08587963865606622,-0.0006887807624995112,-0.0010909170124233972,-0.00032002235355153803,-0.002104923427222729,0.0003565702928877166
Honduras,HND,-0.0038241343380365517,0.0006439466092245213,0.12022454454907608,-0.003833745461947441,-0.004431908696826625,-0.0032307923124356725,-0.005929157281442166,-0.0018846364172759055
Hungary,HUN,-0.0027745863323871216,0.0006688790825012956,-0.023173645515051754,-0.0027732874410557004,-0.0034207978263487617,-0.0021090280804961733,-0.0049019200097267625,-0.0003928726484739779
Iceland,ISL,-0.0010563008146015562,0.0002678703313966722,-0.04529575674700966,-0.001054844782171875,-0.0013047398771063334,-0.0008144089702054781,-0.002054953855199933,-0.00013837049825428426
India,IND,-0.14994703267521345,0.00984166808694079,0.007785492181601743,-0.14989332012314033,-0.1596424579219181,-0.14101718400779034,-0.18036560443257904,-0.12010772775690842
Indonesia,IDN,0.08017915322303068,0.01504248133663885,0.09501546813344681,0.08028769779866411,0.06534693491354761,0.09424094769568236,0.03186192107617952,0.1328610830143585
Iran,IRN,-0.0030176502732138745,0.0017718256920164937,-0.19346555842463253,-0.002912537352759003,-0.004689555669597055,-0.0013839066697751343,-0.009469936129969835,0.0023872641552751066
Iraq,IRQ,-0.0003330805093521846,0.00043266776206041545,0.009204786258879842,-0.00033846469319963454,-0.0007401838222188627,0.00011417587849448293,-0.0017598057470364571,0.0016103969010527728
Ireland,IRL,-0.0022355283451112808,0.0004247643353082324,0.01649442703686398,-0.002229909358264297,-0.00262954391038344,-0.001843485307826868,-0.003499085773727417,-0.0009932878982069492
Israel,ISR,5.225054006920324e-05,7.917154813437297e-05,0.044321109350099495,5.134382273817807e-05,-2.408302062070933e-05,0.00012630879526549446,-0.00019287525142425298,0.0002782076711030677
Italy,ITA,-0.008384820375871602,0.0014965416187217911,-0.050720186918304155,-0.008362649705215573,-0.009795020208972792,-0.006997798184636078,-0.01365568768570137,-0.0036682213103399874
Ivory Coast,CIV,0.011914619905998269,0.0028503263094455784,0.15539784500942705,0.011873089474727391,0.009098387813983304,0.014530198231135449,0.0031101616954822553,0.022936541354558228
Jamaica,JAM,-0.000444110271533521,0.00012653541665334577,-0.19376554331927381,-0.0004393071445082277,-0.0005565161976624909,-0.00032595000340593724,-0.0008731140704654455,-7.282900931545534e-05
Japan,JPN,-0.02343256821217071,0.0010484820930511262,0.0664417104750483,-0.02349719313844347,-0.02440932651685714,-0.02242082654097297,-0.02705871724278641,-0.01993906728746414
