Country,iso,Fbc_mean,Fbc_std,Fbc_skew,Fbc_median,Fbc_q17,Fbc_q83,Fbc_min,Fbc_max
Liberia,LBR,-0.005616681358861162,0.0009675913489830591,-0.3005288489697397,-0.0056756382654690905,-0.00665178126825674,-0.004519773429601841,-0.007927024593409824,-0.004088111268256739
Libya,LBY,-0.013102435820275921,0.0018235425200617333,0.08774694902977997,-0.012864393864520098,-0.0147696564073325,-0.011496785804536601,-0.016584676481954,-0.00941971645484631
Saint Lucia,LCA,-0.00012083979917409615,1.1169869918364319e-05,0.26724893228027624,-0.00012144,-0.00013191,-0.00010778610665265599,-0.00013949,-9.696000000000002e-05
Liechtenstein,LIE,-3.66686362344021e-05,4.016474436227322e-06,-1.4591857201726965,-3.596189418461e-05,-3.89763849065716e-05,-3.35054783721143e-05,-4.8790460332859104e-05,-2.9376183977870303e-05
Sri Lanka,LKA,-0.007509402156179831,0.0012634206753217284,-0.24283819838002133,-0.007317732312108791,-0.00884908596578789,-0.0064083622441448995,-0.01069886066184892,-0.00464571255329199
Lesotho,LSO,-0.0008240039515302877,0.0006722478114303997,0.021156302043117785,-0.0007175815939385009,-0.00154009,-0.0004064,-0.0024921050412818127,0.0010688100000000001
Lithuania,LTU,-0.004257542474849744,0.000775860253555565,0.45657844834548095,-0.00438486780021834,-0.00495561168122271,-0.0032984907314410504,-0.00580208073144105,-0.0024054616293668098
Luxembourg,LUX,-0.0024969625326466205,0.00024044776311868353,0.6850643058159308,-0.00256354658901944,-0.0027042902140148395,-0.00223833520854175,-0.00286699296360399,-0.00194637537415597
Latvia,LVA,-0.0027523039321466557,0.00038646381552587326,-0.2880688131579533,-0.0026897728837522,-0.0031879698166145,-0.00242662452714091,-0.0036901598166145,-0.0017114811990304299
Morocco,MAR,-0.01783098338478544,0.0030175050600411047,-0.8710104581981459,-0.0171961467087794,-0.020271040335716604,-0.015323317969432301,-0.0279708203357166,-0.0108221496569409
Moldova,MDA,-0.0009170152663606162,0.00037756416337040373,0.26711252391047413,-0.0009357532920141699,-0.0012956811353711801,-0.0004745753840270303,-0.00156292329201417,-3.68935480349298e-05
Madagascar,MDG,-0.006634836546172174,0.0029412759516955858,0.7145131132940424,-0.007626543524814793,-0.00922100307337725,-0.00235648352481479,-0.01100846983484573,-0.0005610335248147921
Maldives,MDV,-0.0004380338342759835,8.593090387674012e-05,-0.014768555766544554,-0.00045000000000000004,-0.0005402552625,-0.00034899999999999997,-0.000566686786686462,-0.000298
Mexico,MEX,-0.12817084275266527,0.007866967242052499,0.2616260759364826,-0.12850021239912102,-0.13610315989320218,-0.11981504164695199,-0.146967415242186,-0.10696562554692401
Marshall Islands,MHL,-3.9680746086175553e-05,9.72856431732166e-07,-0.5441475279958317,-4e-05,-4e-05,-3.9e-05,-4.1870624612530505e-05,-3.8e-05
North Macedonia,MKD,-0.0019201897589248794,0.000335346865249993,-0.1748300639147321,-0.00191392,-0.0022098000000000005,-0.00154739,-0.00284575514593967,-0.0012264900000000002
Mali,MLI,-0.005343227037241897,0.004804568540723715,0.188770562252614,-0.005079717097777501,-0.0102765370977775,0.0007155629224939301,-0.01108749213759353,0.002317337002137326
Malta,MLT,-0.0004706407211370087,9.438120856951751e-05,-1.163115540233259,-0.00043678811135371197,-0.000636558810043668,-0.000405141037117904,-0.000663059825327511,-0.00034156781932314403
Myanmar,MMR,-0.034720051890868735,0.007941585420853811,0.004543188895519094,-0.03533106245294111,-0.042494804612352034,-0.02553664567116693,-0.05098645461235203,-0.018684470391165782
Montenegro,MNE,-0.00015440711898925686,0.0002245805873709827,0.8239649197248377,-0.00023915999999999998,-0.0003433500000000001,6.79700000000001e-05,-0.0005261300000000001,0.00039701000000000005
